"","local_date","next_area_fip","inflow_cases","next_area_active_cases","next_area_cmi","23001","23005","23007","23011","23013","23015","23017","23019","23023","23025","23027","23031","25009","25017","25019","26115","33003","33015","33017","36019","36029","36033","36063","36089","39043","39123","50011"
"1",2020-04-22,23005,45.146863722122,377,3.11291655573703,4.8095236,NA,0.41898864,4.059652955,0.393939377,0.988606452,1.69426754,NA,5.27246381,NA,NA,26.63480083,NA,NA,NA,NA,0.72396276,NA,NA,NA,0.150657758122,NA,NA,NA,NA,NA,0
"2",2020-04-23,23005,45.0194632295,391,3.34888767097763,5.087979,NA,0.517453804,3.943000704,0.313374802,0.936241596,1.63481948,NA,5.49615117,NA,NA,26.9929656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0974770735
"3",2020-04-24,23005,47.87264701051,402,3.39256161347799,5.56616234,NA,0.826941076,4.03467375,0.305882356,1.184339316,1.70357894,NA,5.52413351,NA,NA,28.70432384,NA,NA,NA,NA,NA,NA,NA,0.02261188251,0,NA,NA,NA,NA,NA,NA
"4",2020-04-25,23005,43.992326085275,402,3.44605386509531,5.51833725,NA,0.846292928,3.97137544,0.322981347,1.173002328,1.7660167,NA,5.32005701,NA,NA,24.89657264,NA,NA,NA,NA,NA,NA,NA,NA,0.177690442275,NA,NA,NA,NA,NA,NA
"5",2020-04-26,23005,37.076699481247,430,2.12516338120612,4.4140532,NA,0.77973116,2.982154752,0.3269896,0.995442156,1.67803545,0.4509038865,4.59050688,NA,NA,20.75839164,NA,NA,NA,NA,NA,NA,NA,NA,0.100490756747,0,NA,NA,NA,NA,0
"6",2020-04-27,23005,42.857850810466,435,1.75541144003439,5.0457036,NA,0.788702928,4.32874272,0.243781076,0.994652424,1.75223745,NA,5.06336958,0.341757613,NA,24.15335517,NA,NA,NA,NA,NA,NA,NA,0,0.095343945186,NA,NA,NA,NA,NA,0.05020430428
"7",2020-04-28,23005,46.13883242445,442,3.0292060000746,5.4974628,NA,0.867542988,3.964240038,0.328733775,1.11111108,1.9003608,NA,5.45953554,NA,NA,26.15379477,NA,NA,NA,NA,0.608621419,NA,NA,0.05181346445,0.19561575,NA,NA,NA,NA,NA,NA
"8",2020-04-30,23005,52.573526042,460,3.04578280633679,6.80954514,NA,0.919449908,4.729447072,0.364227648,1.256629634,1.96524075,NA,6.25756488,NA,NA,29.1216024,NA,NA,NA,NA,0.738095244,NA,NA,NA,0.311839526,NA,NA,NA,NA,NA,0.09988384
"9",2020-05-01,23005,50.014754467,477,3.27075673819384,7.3275865,NA,0.702000027,4.027957584,0.280925776,1.17667235,1.92986235,NA,5.59999977,NA,NA,28.96975011,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-05-02,23005,52.108893420332,500,3.58540111853354,8.31362272,NA,0.593123229,4.317969768,0.437158464,1.22980389,2.03106315,NA,6.15363317,NA,NA,28.91707189,NA,NA,NA,NA,NA,NA,NA,NA,0.115447139332,0,NA,NA,NA,NA,NA
"11",2020-05-03,23005,50.923311888888,521,3.31669552933682,6.66459468,NA,1.087649444,4.159485495,0.224237424,1.105697775,2.0961777,0.875927892,5.39644973,0.317502659,NA,28.85117664,NA,NA,NA,0.023414391,NA,NA,NA,NA,0.120998058888,NA,NA,NA,NA,NA,NA
"12",2020-05-04,23005,61.248803156,530,3.33498662294725,9.16321642,NA,1.121149876,5.317135758,0.358113504,1.30337077,2.2707327,NA,6.40390003,0.478491758,NA,33.69251552,NA,NA,NA,0,0.895504269,NA,NA,NA,0.244672551,NA,NA,NA,NA,NA,NA
"13",2020-05-05,23005,60.547485832,541,3.47687835031724,9.4029852,NA,0.853658568,4.319338511,0.32348368,1.039096396,1.900572,NA,6.31541703,NA,NA,35.9688666,NA,NA,NA,NA,NA,NA,NA,NA,0.368708615,NA,NA,NA,NA,NA,0.055359232
"14",2020-05-06,23005,66.06827891465,553,3.49966108838721,10.85905405,NA,0.920318756,5.196506546,0.480519484,1.63529408,2.20856768,NA,7.097643,NA,NA,36.58736046,NA,NA,NA,NA,0.800000008,NA,NA,0.02994010565,0.253074745,0,NA,NA,NA,NA,NA
"15",2020-05-07,23005,69.61940926706,601,3.51366630977069,11.7151488,NA,0.81325305,4.920395832,0.513953486,1.327181156,2.35564121,NA,7.1360218,NA,NA,39.81145575,NA,NA,NA,NA,0.81196584,NA,NA,0.02988505,0.13097655,NA,NA,NA,NA,NA,0.05353074306
"16",2020-05-08,23005,73.257403014,628,3.67913750279035,13.1377856,NA,0.84057972,4.9058869,0.439359246,1.53635655,2.57809913,NA,6.985392,NA,NA,41.60366371,NA,NA,NA,NA,0.826972992,NA,NA,NA,0.403307166,NA,NA,NA,NA,NA,NA
"17",2020-05-09,23005,61.074784653,655,3.08767357786161,11.1337408,NA,0.81846804,3.400600512,0.35121951,1.401028305,2.17005289,NA,6.8126888,NA,NA,34.06608848,NA,NA,NA,NA,0.920897316,NA,NA,0,NA,0,NA,NA,NA,NA,NA
"18",2020-05-10,23005,63.2340330887,672,3.54315582569776,11.74479194,NA,1.1584158,4.133415203,0.291441798,1.10311746,2.26097875,NA,6.25628157,NA,NA,36.1933198,NA,NA,NA,NA,NA,NA,NA,0.07000488,NA,0.0222658877,NA,NA,NA,NA,NA
"19",2020-05-11,23005,77.288913923,683,3.33986150494691,14.8272111,NA,1.66163139,5.31972789,0.526558913,1.66945605,2.49293304,NA,6.77930085,NA,NA,42.96389172,NA,NA,NA,NA,1.04820297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-05-12,23005,73.723825139,690,3.41920135107594,14.63975935,NA,1.07692311,4.68779265,0.453425709,1.266722385,2.26067802,NA,6.46811382,0.380394227,NA,41.420288,NA,NA,NA,NA,1.069727868,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"21",2020-05-13,23005,81.742211195794,712,3.55132943704653,16.21944961,NA,0.77380953,5.788497208,0.52384501,1.5802269,2.38812974,NA,7.66666682,NA,NA,45.62896743,NA,NA,NA,NA,0.889492062,NA,NA,NA,0.283126885794,NA,NA,NA,NA,NA,0
"22",2020-05-14,23005,88.121908402729,744,3.65773155461392,19.85544002,NA,1.08674928,6.258136815,0.455089843,1.73212875,2.62893865,NA,8.58306225,NA,NA,46.38619053,NA,NA,NA,NA,0.992828967,NA,NA,NA,0.143343297729,NA,NA,NA,NA,NA,NA
"23",2020-05-15,23005,86.600178149258,764,3.62154752330361,18.10539537,NA,0.857670976,5.911306452,0.3648036,1.451133728,2.43936961,NA,8.38393972,NA,NA,47.74033446,NA,NA,NA,NA,0.914920188,NA,NA,NA,0.431304045258,NA,NA,NA,NA,NA,0
"24",2020-05-16,23005,85.589888623,786,3.69256066331295,19.02816552,NA,1.0008688,6.02126392,0.596412558,1.527097267,2.50566893,NA,9.456083,0.54027978,0.600000048,44.3140488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-05-17,23005,81.171303674,802,3.50734720236143,19.11529998,NA,1.673579808,5.329968971,0.40816326,1.388845243,2.31458502,1.144902832,8.79732576,0.69138274,NA,40.30725006,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"26",2020-05-18,23005,99.409633425,816,3.5974927388969,23.66469226,NA,1.501466272,6.91931205,0.43906134,2.09827039,2.50398661,NA,9.47612898,NA,NA,51.35555838,NA,NA,NA,NA,0.984825468,NA,NA,NA,0.466331675,NA,NA,NA,NA,NA,0
"27",2020-05-19,23005,99.618900166588,825,3.64367394961282,25.30188668,NA,1.0991168,5.980360064,0.43543544,1.71865206,2.34704159,NA,9.52638246,NA,NA,51.45322065,NA,NA,NA,NA,1.194261332,NA,NA,NA,0.457749352588,NA,NA,NA,NA,NA,0.104793738
"28",2020-05-20,23005,107.373340882,853,3.69780979870243,30.39816477,NA,0.963276831,5.763453695,0.56574926,1.97981371,2.72144628,NA,10.23244208,NA,NA,53.59405436,NA,NA,NA,NA,1.154939896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-05-21,23005,114.7563442,881,3.73628418833258,35.889002,NA,0.98018022,6.77519372,0.56975894,1.82916054,2.7616824,NA,9.99373844,0.54676258,NA,54.35853072,NA,NA,NA,NA,1.05233464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020-05-22,23005,123.712664108,930,3.87020453638775,39.6651744,NA,NA,6.84318862,0.61737258,1.86036966,3.06823856,NA,10.96019316,NA,NA,59.58495988,NA,NA,NA,NA,1.113167248,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"31",2020-05-23,23005,119.5251061258,969,3.68869526612984,38.25402075,NA,0.724482465,6.80096196,0.62931694,1.598259575,2.94357063,NA,10.61337032,NA,NA,56.26084898,NA,NA,NA,NA,1.158415838,NA,NA,NA,0.530729008,0.0111296598,NA,NA,0,NA,NA
"32",2020-05-24,23005,109.064930375146,992,3.5730521707781,37.55068548,NA,1.61698957,6.444921476,0.48817694,1.35642142,3.21877122,NA,9.16183772,0.672663432,NA,48.3737253,NA,NA,NA,NA,NA,NA,NA,NA,0.180737817146,NA,NA,NA,NA,NA,NA
"33",2020-05-25,23005,97.95970878033,1000,3.40287620468247,29.23666412,NA,2.877470365,6.583482815,0.41252862,1.65151522,3.09179283,1.578283238,8.48424052,0.808075989,NA,43.13113266,NA,NA,NA,NA,NA,NA,NA,0.04125111991,NA,0.0119331806,NA,NA,NA,NA,0.05133810282
"34",2020-05-26,23005,134.076344871109,1015,3.65738489712448,45.81385585,NA,3.03773589,7.865418764,0.63798218,1.83194548,4.06237194,NA,9.78776484,NA,NA,59.3573785,NA,NA,NA,NA,1.28044542,NA,NA,0.04084380209,0.348086564819,0.0125156402,NA,NA,NA,NA,NA
"35",2020-05-27,23005,140.22137295982,1022,3.71842516700094,47.832035,NA,1.525974065,7.370232156,0.67516878,2.4580152,4.43086826,NA,11.05193973,NA,NA,64.12838396,NA,NA,NA,NA,NA,NA,NA,NA,0.697192482,NA,NA,NA,NA,NA,0.05156332682
"36",2020-05-28,23005,141.73581643282,1046,3.73507990300831,47.73015654,NA,0.979477625,6.686711388,0.62093862,2.1091444,4.59371223,NA,11.4569127,NA,NA,65.77857893,NA,NA,NA,NA,1.0740494,NA,NA,0,0.70613459982,NA,NA,NA,NA,NA,NA
"37",2020-05-29,23005,148.04662726608,1070,3.78480206969406,51.52726467,NA,1.161572055,6.647291924,0.551124,1.9067797,4.59209056,NA,11.0246139,0.540245552,NA,68.70403904,NA,NA,NA,NA,1.221708986,NA,NA,0.1197367899,NA,NA,NA,NA,NA,NA,0.05016008918
"38",2020-05-30,23005,141.167058855,1096,3.75505109734414,50.04048525,NA,1.03298615,6.690301261,0.36258158,1.99039116,5.13143301,NA,11.252313,0.581093612,NA,62.55253662,NA,NA,NA,NA,1.532937212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2020-05-31,23005,127.996814003892,1125,3.61244281920701,44.22466144,NA,1.88271608,5.936938917,0.54814816,2.0211162,4.81951938,NA,10.1589498,0.576086962,NA,57.4463175,NA,NA,NA,NA,NA,NA,NA,NA,0.382359564892,NA,NA,NA,NA,NA,NA
"40",2020-06-01,23005,153.12823730294,1139,3.67927727961651,53.25319416,NA,1.73638129,7.326712904,0.67448684,2.173913,5.68440906,NA,10.8218319,NA,NA,70.02162018,NA,NA,NA,NA,1.383436752,NA,NA,NA,0,NA,NA,NA,NA,NA,0.05225121694
"41",2020-06-02,23005,156.577866363702,1149,3.7252774819453,57.64434,NA,1.52173917,6.574779932,0.65671646,2.044776,5.5363638,NA,10.91549308,NA,NA,70.01691442,NA,NA,NA,NA,1.300185552,NA,NA,NA,0.366557949702,NA,NA,NA,NA,NA,NA
"42",2020-06-03,23005,162.39649244918,1172,3.72187784008258,61.32279636,NA,1.31123923,6.17174102,0.46647228,2.2857142,5.54552988,NA,11.37109605,NA,NA,72.09977408,NA,NA,NA,NA,1.403208576,NA,NA,NA,0.36713016,NA,NA,NA,NA,NA,0.05179061318
"43",2020-06-04,23005,167.90206756559,1190,3.81640220783285,63.7567488,NA,1.12903224,6.723545101,0.5937726,2.5366568,4.98734176,NA,11.6772705,0.58845611,NA,73.33881821,NA,NA,NA,NA,1.29024,NA,NA,NA,1.28018544459,NA,NA,NA,NA,NA,NA
"44",2020-06-05,23005,172.97305079107,1210,3.8770920758556,68.07486425,NA,1.634695615,7.9299018,0.57063326,1.99468092,5.52046784,NA,11.5345125,NA,NA,74.45098609,NA,NA,NA,NA,1.1724648,NA,NA,0.03965882607,NA,NA,NA,NA,NA,NA,0.05018489
"45",2020-06-06,23005,154.945587429,1235,3.75633112848063,58.46835281,NA,1.222961705,7.549631287,0.50384882,1.73462778,4.73053888,1.512544275,10.5539184,0.589840064,NA,66.68993672,NA,NA,NA,NA,1.389386688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2020-06-07,23005,143.05937829623,1251,3.6690597921856,54.56456824,NA,1.520443015,7.452816041,0.65040648,1.55826554,4.13717444,1.420511994,10.0319694,0.74576271,NA,60.76448352,NA,NA,NA,NA,NA,NA,NA,NA,0.19943953,0.01353738623,NA,NA,NA,NA,NA
"47",2020-06-08,23005,184.494342672029,1255,3.78672398421767,68.7145822,NA,1.712834795,8.77340552,0.65734268,2.4186706,5.4154396,1.694652795,11.547897,0.871208304,NA,80.75883042,NA,NA,NA,NA,1.49326488,NA,NA,NA,0.385601203029,NA,NA,NA,NA,NA,0.050612675
"48",2020-06-09,23005,189.90390137195,1267,3.80395553090089,72.65636658,NA,1.307471235,7.919007556,0.79111726,2.2865208,4.80493707,1.496586465,11.8143957,NA,NA,85.61944497,NA,NA,NA,NA,NA,NA,NA,0,1.15653533,NA,NA,NA,NA,NA,0.05151840595
"49",2020-06-10,23005,186.835517722004,1282,3.80621964549832,74.91852117,NA,1.19025732,8.081692245,0.66620402,2.4118478,5.26462274,NA,11.6037735,0.641658425,NA,80.24337464,NA,NA,NA,NA,1.187583061,NA,NA,NA,0.575242865964,NA,NA,0,NA,NA,0.05073993504
"50",2020-06-11,23005,182.541976276821,1304,3.7307573797956,74.42399566,NA,1.378205185,7.115347044,0.63037246,2.0472442,4.91236509,NA,11.2297539,NA,0.75070426,78.2186244,NA,NA,NA,NA,1.514176489,NA,NA,0.040727944,0.194807627921,0.013561329,NA,0.0720906879,NA,NA,0
"51",2020-06-12,23005,217.28023110449,1331,3.94743381109149,87.1553864,NA,1.21445784,7.76940075,0.84181942,2.34815742,5.37578533,NA,11.7790371,0.741239925,NA,82.4147432,NA,NA,NA,NA,1.26775691,15.709524952,NA,NA,0.59166145161,NA,NA,0.07126040588,NA,NA,NA
"52",2020-04-22,23011,23.412315323,95,3.50814343321893,2.42857146,7.28974363,1.112487082,NA,0.692055702,1.59859764,0.24203823,0.877801469,1.92173916,3.5044248,3.74485615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2020-04-23,23011,24.885382673,96,3.60658986185838,3.01829274,7.591496081,1.264887092,NA,0.555987562,1.59060396,0.315074312,1.086813336,1.93911826,3.7677984,3.75531093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2020-04-24,23011,27.876078426,95,3.69075264025109,3.177285312,8.769230814,2.140317998,NA,0.703529398,1.58564436,0.306526304,1.1829787,1.9068662,3.90610336,4.19759598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2020-04-25,23011,33.674234755,95,3.71343500080164,3.692598261,10.611614502,2.93851714,NA,0.857919218,1.80605112,0.445682454,1.209334,2.58748228,3.8980632,5.62697258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2020-04-26,23011,26.747556544,96,2.87698721527699,3.08417828,7.44830563,2.473629808,NA,0.787197222,1.57520508,NA,0.967564714,2.05631532,3.62985904,4.72530145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2020-04-27,23011,24.162486344,96,3.13927427839322,2.5868374,7.48069152,2.01255223,NA,0.638474284,1.28342244,0.211964205,1.15377779,1.710973746,3.75933359,3.324459139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2020-04-28,23011,27.950456596,97,3.55364761116484,2.84138532,9.359795094,2.024266946,NA,0.65746755,1.47089952,0.351668175,1.301324421,1.92540474,4.2433461,3.77489873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2020-04-30,23011,31.507640210947,98,3.56087948119619,3.40477257,10.74597582,2.24754413,NA,0.949593488,1.75705738,0.28743315,1.592116812,2.31315975,4.40162147,3.600474662,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207890978947,NA,NA,NA,NA,NA,NA
"60",2020-05-01,23011,31.785951859215,98,3.65772702217824,3.57758625,10.226076732,2.322000081,NA,0.970470848,1.94511142,0.316265055,1.880317315,2.19999993,3.89319856,4.34630046,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108625208215,NA,NA,NA,NA,NA,NA
"61",2020-05-02,23011,37.481383612,98,3.7611488774905,4.646517668,11.8590685,2.96561601,NA,1.199063184,2.1631372,0.4181601,2.33333337,2.60346018,4.295934,4.9970934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2020-05-03,23011,33.498491396,99,3.56336172925845,4.57891218,9.891066212,2.95617532,NA,0.94971144,1.76052851,0.29593095,2.078472984,1.98150886,3.75560294,5.250582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2020-05-04,23011,34.830981309,99,3.72993003509305,4.537372016,11.58725485,2.587269048,NA,0.86970424,1.75280898,0.39491004,1.861848925,2.09052934,4.48698867,4.6622952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2020-05-05,23011,35.232723663,97,3.6743918309821,4.97805072,12.134970289,2.10569114,NA,0.746500784,1.73935697,0.31016277,2.21064413,2.33804804,4.5987295,4.07056932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2020-05-06,23011,38.52963355,98,3.79187158872614,5.26116981,13.669307274,2.398406444,NA,1.038961018,1.89411768,0.38078752,2.409642654,2.4781146,4.66244703,4.33667952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2020-05-07,23011,42.27030811,99,3.8082311097747,6.649978248,15.15317527,3.1024098,NA,1.067441883,1.80872482,0.50321751,2.243312729,2.4470266,4.50764333,4.78737792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2020-05-08,23011,48.577242581,100,3.88134632301783,6.82586628,17.036046136,3.0144927,NA,1.304347788,2.28694275,0.463636359,2.630614385,2.6029218,4.74751996,5.0938416,2.571012823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
